品牌ID,品牌名称,城市,平台,日期,门店ID,门店名称,GMV,下单人数,商家实收,商户补贴,平台补贴,无效订单数,曝光人数,有效订单数,进店人数
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-21,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-21,8184590,五角场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-21,8106681,怒江路店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-22,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-22,8184590,五角场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-22,8106681,怒江路店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-23,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-23,8184590,五角场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-23,8106681,怒江路店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-24,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-24,8184590,五角场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-24,8106681,怒江路店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-25,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-25,8184590,五角场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-25,8106681,怒江路店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-26,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-26,8184590,五角场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-26,8106681,怒江路店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-27,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-27,8184590,五角场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-27,8106681,怒江路店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-28,8165842,虹口足球场店,0,,0,0,0,0,,0,
4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-08-28,8184590,五角场店,0,,0,0,0,0,,0,
